1;Bobbin case ASM;;Bobbin case ASM;11038759;1-1;MLA;;2015-12-31 00:00:00
2;Screw15/64-28 L=15;;Screw15/64-28 L=15;SS 8151550 SP ;1-2;MLA;;2015-12-31 00:00:00
3;Needle Bar Thread Guide;;Needle Bar Thread Guide;B1418530000 ;1-3;MLA;;2015-12-31 00:00:00
4;Moving Knife;;Moving Knife;11351400;1-4;MLA;;2015-12-31 00:00:00
5;Presser Foot ASMG with Guard;;Presser Foot ASMG with Guard;B1524530GBO ;1-5;MLA;;2015-12-31 00:00:00
6;Knife;;Knife;B4121522000 ;1-6;MLA;;2015-12-31 00:00:00
7;Screw 11/64-40 L=6;;Screw 11/64-40 L=6;SS 6110610 TP;1-7;MLA;;2015-12-31 00:00:00
8;Thread Take - Up Spring;;Thread Take - Up Spring;22921605;1-8;MLA;;2015-12-31 00:00:00
9;NUT;;NUT;22928808;1-9;MLA;;2015-12-31 00:00:00
10;Counter Knife;;Counter Knife;11351509;1-10;MLA;;2015-12-31 00:00:00
11;Screw 1/8-44 L= 4;;Screw 1/8-44 L= 4;SS 6080410 SP;1-11;MLA;;2015-12-31 00:00:00
12;Screw 11/64-40 L=7;;Screw 11/64-40 L=7;SS 7110740 TP;1-12;MLA;;2015-12-31 00:00:00
13;Hinge Screw D=7.24 H=33;;Hinge Screw D=7.24 H=33;SD 0720331 SP ;1-13;MLA;;2015-12-31 00:00:00
14;Washer 5x10. 5x1;;Washer 5x10. 5x1;WP 0501016 SD ;1-14;MLA;;2015-12-31 00:00:00
15;Screw 9/64-40 L=10.5;;Screw 9/64-40 L=10.5;SS7091110 TP;1-15;MLA;;2015-12-31 00:00:00
16;Rubber Joint;;Rubber Joint;22924609;1-16;MLA;;2015-12-31 00:00:00
17;Screw 11/64-40 L= 9.5;;Screw 11/64-40 L= 9.5;SS 6111010 TP ;1-17;MLA;;2015-12-31 00:00:00
18;E-Ring 12;;E-Ring 12;RE 1200000 K 0 ;1-18;MLA;;2015-12-31 00:00:00
19;Rubber Plug D=12.5 L=4;;Rubber Plug D=12.5 L=4;TA 1250406R 0 ;1-19;MLA;;2015-12-31 00:00:00
20;Pin contact;;Pin contact;HK 03464000 B ;1-20;MLA;;2015-12-31 00:00:00
21;Screw1/8-44 L=4.5;;Screw1/8-44 L=4.5;SS 7080510 TP ;1-21;MLA;;2015-12-31 00:00:00
